Date/Time,Word Count,en,ko
2026.02.27-15.01.09,32,0,32
2026.02.27-15.07.25,32,4,32
2026.02.27-15.39.43,31,23,31
2026.02.27-16.01.30,31,31,31
2026.02.28-01.50.12,31,30,31
2026.02.28-01.50.46,31,31,31
2026.03.03-20.33.41,48,15,48
2026.03.03-20.37.19,48,48,48
2026.03.03-20.54.08,48,45,48
2026.03.03-20.54.51,48,48,48
2026.03.04-02.08.25,51,48,51
2026.03.04-02.14.18,51,51,51
2026.03.09-11.33.22,54,51,54
2026.03.09-11.34.13,54,54,54
2026.03.20-16.11.20,54,53,54
2026.03.20-16.12.06,54,54,54
2026.04.17-23.39.45,56,54,56
2026.04.17-23.41.26,56,56,56
2026.05.30-23.06.47,58,56,58
2026.05.30-23.09.38,58,58,58
2026.06.01-12.04.53,132,58,132
2026.06.01-12.11.28,132,59,132
2026.06.01-12.22.57,132,132,132
2026.06.01-12.23.33,132,96,132
2026.06.01-12.36.05,132,132,132
2026.06.03-01.05.21,133,132,133
2026.06.03-01.07.10,133,133,133
2026.06.03-01.26.18,135,133,135
2026.06.03-01.27.17,135,135,135
2026.06.09-12.34.34,697,135,697
2026.06.09-12.45.51,697,154,697
2026.06.10-23.17.40,697,697,697
2026.06.11-00.27.36,732,697,732
2026.06.11-00.32.11,732,732,732
2026.06.21-03.18.27,743,732,743
2026.06.21-03.32.55,743,743,743
2026.06.22-20.17.02,758,743,758
2026.06.28-02.00.12,743,743,743
2026.06.28-02.10.34,814,743,814
2026.06.28-02.17.09,814,800,814
2026.06.28-02.18.24,814,814,814
2026.06.28-22.37.48,826,814,826
2026.06.28-22.46.33,833,826,833
2026.06.28-22.51.04,833,833,833
2026.06.28-22.55.54,834,833,834
2026.06.29-00.24.06,834,834,834
2026.07.01-09.44.02,836,834,836
2026.07.01-09.46.34,836,836,836
2026.07.06-16.42.10,937,836,937
2026.07.06-16.51.58,937,937,937
2026.07.07-10.37.06,938,937,938
2026.07.07-10.39.07,938,938,938
2026.07.07-10.44.30,940,938,940
2026.07.07-10.45.25,940,940,940
2026.07.10-16.24.19,941,940,941
2026.07.10-16.27.12,941,941,941
2026.07.10-17.23.49,954,941,954
2026.07.10-17.29.07,954,954,954
2026.07.11-16.43.20,963,954,963
2026.07.11-16.45.22,963,963,963
2026.07.13-17.17.46,982,963,982
2026.07.13-17.26.21,982,982,982
2026.07.13-17.29.15,983,982,983
2026.07.13-17.31.07,983,983,983
2026.07.13-17.34.38,992,983,992
2026.07.13-17.47.14,993,992,993
2026.07.13-17.51.53,993,993,993
2026.07.13-17.53.32,995,993,995
2026.07.13-17.54.30,995,995,995
2026.07.14-23.58.33,996,995,996
2026.07.15-00.09.00,996,996,996
2026.07.15-00.42.07,998,994,998
2026.07.15-00.50.21,998,998,998
2026.07.15-01.02.36,1001,998,1001
2026.07.15-01.04.49,1001,1001,1001
2026.07.15-01.11.14,1003,1001,1003
2026.07.15-01.12.29,1003,1003,1003
2026.07.15-10.21.43,1001,997,1001
2026.07.15-10.25.03,1001,1001,1001
2026.07.15-10.31.32,1006,1001,1006
2026.07.15-10.34.07,1006,1006,1006
